Date,Current Value,Cost,Current P&L,Closed P&L,Overall P&L,P&L Positive,P&L Negative,Daily P&L Change,TWR,SPY_TWR,Net Invested Capital,Cumulative Cash Flow Adjusted Return,total_cash_in_cumulative,total_cash_out_cumulative
2025-03-26,43958.79,44306.15,-347.36,0.0,-347.36,0.0,-347.36,0.0,1.0,1.0,44306.15,-0.01,44306.15,0.0
2025-03-27,61704.55,62308.2,-603.65,0.0,-603.65,0.0,-603.65,-256.29,2.38,1.0,62308.2,-0.01,62308.2,0.0
2025-03-28,59911.41,62308.2,-2396.79,0.0,-2396.79,0.0,-2396.79,-1793.14,2.31,0.98,62308.2,-0.04,62308.2,0.0
2025-03-31,81189.21,83310.25,-2121.04,0.0,-2121.04,0.0,-2121.04,275.75,4.82,0.98,83310.25,-0.03,83310.25,0.0
2025-04-01,82055.39,83310.25,-1254.86,0.0,-1254.86,0.0,-1254.86,866.18,4.87,0.99,83310.25,-0.02,83310.25,0.0
2025-04-02,82813.29,83310.25,-496.96,0.0,-496.96,0.0,-496.96,757.9,4.91,0.99,83310.25,-0.01,83310.25,0.0
2025-04-03,78197.07,83310.25,-5113.18,0.0,-5113.18,0.0,-5113.18,-4616.22,4.64,0.94,83310.25,-0.06,83310.25,0.0
2025-04-04,72489.25,83310.25,-10821.0,0.0,-10821.0,0.0,-10821.0,-5707.82,4.3,0.89,83310.25,-0.13,83310.25,0.0
2025-04-07,74116.49,83310.25,-9193.76,0.0,-9193.76,0.0,-9193.76,1627.24,4.4,0.89,83310.25,-0.11,83310.25,0.0
2025-04-08,73238.9,83310.25,-10071.35,0.0,-10071.35,0.0,-10071.35,-877.59,4.34,0.87,83310.25,-0.12,83310.25,0.0
2025-04-09,84355.85,83310.25,1045.6,0.0,1045.6,1045.6,0.0,11116.95,5.0,0.96,83310.25,0.01,83310.25,0.0
2025-04-10,99971.09,102954.7,-2983.61,0.0,-2983.61,0.0,-2983.61,-4029.21,7.73,0.92,102954.7,-0.03,102954.7,0.0
2025-04-11,101862.83,102954.7,-1091.87,0.0,-1091.87,0.0,-1091.87,1891.74,7.88,0.94,102954.7,-0.01,102954.7,0.0
2025-04-14,102986.07,102954.7,31.37,0.0,31.37,31.37,0.0,1123.24,7.96,0.95,102954.7,0.0,102954.7,0.0
2025-04-15,104415.56,102954.7,1460.86,0.0,1460.86,1460.86,0.0,1429.49,8.07,0.95,102954.7,0.01,102954.7,0.0
2025-04-16,99673.09,102954.7,-3281.61,0.0,-3281.61,0.0,-3281.61,-4742.47,7.71,0.92,102954.7,-0.03,102954.7,0.0
2025-04-17,98926.07,102954.7,-4028.63,0.0,-4028.63,0.0,-4028.63,-747.02,7.65,0.93,102954.7,-0.04,102954.7,0.0
2025-04-21,137316.04,144508.8,-7192.76,0.0,-7192.76,0.0,-7192.76,-3164.13,18.3,0.9,144508.8,-0.05,144508.8,0.0
2025-04-22,140712.47,144508.8,-3796.33,0.0,-3796.33,0.0,-3796.33,3396.43,18.76,0.93,144508.8,-0.03,144508.8,0.0
2025-04-23,144840.28,144508.8,331.48,0.0,331.48,331.48,0.0,4127.81,19.31,0.94,144508.8,0.0,144508.8,0.0
2025-04-24,149723.3,144508.8,5214.5,0.0,5214.5,5214.5,0.0,4883.02,19.96,0.96,144508.8,0.04,144508.8,0.0
2025-04-25,152941.54,144508.8,8432.74,0.0,8432.74,8432.74,0.0,3218.24,20.39,0.97,144508.8,0.06,144508.8,0.0
2025-04-28,164081.79,155410.85,8670.94,0.0,8670.94,8670.94,0.0,238.2,23.55,0.97,155410.85,0.06,155410.85,0.0
2025-04-29,192927.55,182762.9,10164.65,0.0,10164.65,10164.65,0.0,1493.71,33.23,0.97,182762.9,0.06,182762.9,0.0
2025-04-30,221126.68,210214.95,10911.73,0.0,10911.73,10911.73,0.0,747.08,44.41,0.98,210214.95,0.05,210214.95,0.0
2025-05-01,226164.31,210214.95,15949.36,0.0,15949.36,15949.36,0.0,5037.63,45.42,0.98,210214.95,0.08,210214.95,0.0
2025-05-02,232407.56,210214.95,22192.61,0.0,22192.61,22192.61,0.0,6243.25,46.67,1.0,210214.95,0.11,210214.95,0.0
2025-05-05,231335.95,210214.95,21121.0,0.0,21121.0,21121.0,0.0,-1071.61,46.46,0.99,210214.95,0.1,210214.95,0.0
2025-05-06,241507.74,227092.0,14415.74,0.0,14415.74,14415.74,0.0,-6705.26,52.32,0.98,227092.0,0.06,227092.0,0.0
2025-05-07,244627.1,227092.0,17535.1,0.0,17535.1,17535.1,0.0,3119.36,52.99,0.99,227092.0,0.08,227092.0,0.0
2025-05-08,250019.14,227092.0,22927.14,0.0,22927.14,22927.14,0.0,5392.04,54.16,0.99,227092.0,0.1,227092.0,0.0
2025-05-09,248796.88,227092.0,21704.88,0.0,21704.88,21704.88,0.0,-1222.26,53.89,0.99,227092.0,0.1,227092.0,0.0
2025-05-12,258991.89,227092.0,31899.89,0.0,31899.89,31899.89,0.0,10195.01,56.1,1.03,227092.0,0.14,227092.0,0.0
